Name,Rating,Time,Review Text
"Angel","1 bintang","setahun lalu","Ekspedisi buruk. Selalu dapat experience 'gudang salah kirim barang', paket sudah di manado tiba-tiba update hari selanjutnya paket dikirim ke palembang."
"Desiana Hadin","1 bintang","3 tahun lalu","Jangan pakai jasa J&T, sdh kesekian kali pakai jasa ini selalu bermasalah, paket lama sampai, di tangan kurir bisa berhari2, bisa ngaret 3-5 hr dr tgl yg di tentukan. Percuma pilih yg sampai 2-3 hr dng pembayaran yg lebih mahal ujung2ny …"
"April May","1 bintang","3 tahun lalu","Kurir dan ekspedisi J&T gak amanah, Tidak ada konfirmasi (Telpon/Chat) terlebih dahulu ke Custamer.. langsung Ambil Keputusan sepihak.. Keterangannya Custamer Menolak Pembayaran COD.. Jelas2 Custamer berharap paketnya sampai. 😭 Kirim dari …"
"Yuri Toar","1 bintang","3 tahun lalu","Pelayanan/servicenya sangat buruk. Paket sudah dikirim dari tanggal 8 Des sampai sekarang belum diterima padahal hanya Tomohon ke Manado tapi banyak drama, katanya nanti diantar kurir, pake alasan kurirnya sakit, alasan byk paket yg hrs …"
"Artsance Tahulending","2 bintang","2 tahun lalu","Ni kurir rupa nd niat kerja at bgmna?, Pemberitahuan paket jam sekian nnti antar so berjam jam kemudian, apalagi nda fast respon sm sxli haaduhhhh bagmna ee"
"Fernando Krisna","1 bintang","2 tahun lalu","paket yg saya kirim blom sampe"" ke rumah pembeli saya di manado selama 13 hari, gimana sih ini kurir update terakhir jg tanggal 26 desember 2023 cuma berada di gudang mapanget abis itu udh aja gaada info, CS JUGA SUDAH SAYA HUBUNGI 3x TAPI …"
"Ravenza GP","1 bintang","5 tahun lalu","Ini j&t manado ada karyawan atau tidak? Kalopun ada karyawan itu karyawanya masih hidup atau sudah mati semua? Barang sudah 1 minggu ditahan di gudang terus. Pdhal pengiriman hanya dlm area Sulut saja. …"
"dhea nanda","2 bintang","3 tahun lalu","Tolong di perhatikan lagi ya untuk pelayanan nya. Bisa lebih di perbaiki. Jangan sampe cust udah mempercayai j&t tapi malah di kecewakan dgn pelayanan yg kurang baik. Untuk telp dan chat harap bisa di angkat/ bls . Apalagi paket harap lgsg …"
"Lana","1 bintang","Diedit 2 tahun lalu","ni dpe kurir"" rpa malas sx j kerja e nda jba antar paket + nd ramah, tpe paket drg suru pi ambe p drg p kantor, bkg cma 1 2x tiap dpaket msti pi ambe p drg p kntor krna dpe kurir"" p mls kerja bgni wkwk"
"Dila Lataan","1 bintang","2 tahun lalu","sebenarnya ni jnt kse karja org yg bgmna? so tiga kali dpa kurir yg sama trus tga kali le dia suruh pa Qt dtng ambe jj di kantor. niat jdi kurir at nda? trus stiap di chat rupa artis do'e nd pernah fast respon akng. haduh bgmna ee"
"043_Junia Putri Rahma Dita","2 bintang","2 tahun lalu","halo, tolong dong, udah dua paket belum di anter anter, keburu barangnya expired ya baru di anter? gada tindak lanjutnya, kasian kt juga nungguin loh"
"Pricilia Moningka","1 bintang","2 tahun lalu","Karena paket cod Jadi nda di antar, sudah chat kurir, so 3 hari nda antar"" Pernah lagi paket diretur tanpa konfirmasi lebih dulu"
"Robin Zee","1 bintang","3 tahun lalu","Paket dri Surabaya ke Manado, smpai 1 bulan lebih!! Katanya akan diproses dalam 2 minggu, ehh yg 2 minggu malah nganggur di transir Jakarta!! Percuma ada Customer Care, trus jawabannya ""Silahkan ditunggu ya pak"" hmmmmmmm.."
"Menhard Paluala","1 bintang","6 tahun lalu","PARAH skli ini J&T Komo manado, barang biar so ada di kantor pa drng, mar drng blum mo antar, kbnyakan Konsumen yg jga dtng ambe sndiri. Baru tpe barang yg ada kirim dri tanggal 4 mei nnti sampe tanggal 13 mei, alasan overlode, padahal di …"
"Lili Ham","1 bintang","6 tahun lalu","Tolong donk setiap kurirnya punya kontak yang bisa dihubungi. Masa kiriman saya sudah 2x antar tapi gak sampai dirumah. Kalau ada kendala kan bisa hubungi no tlp yg tertera di paket. Bukan dibiarkan begitu saja. Kita mau cari tau gmn klo …"
"피비","1 bintang","4 tahun lalu","Saya langganan pake jasa pengiriman Jnt. Tapi pelayanan Jnt akhir-akhir ini sudah tidak bagus seperti dulu. Kurir-kurirnya gak sopan sama sekali dan kasar. Mau tanya alamat aja kaya mau manggil tawuran gak ada sopan-sopannya memang. Terus …"
"Andriani Elzira","1 bintang","2 tahun lalu","Kalo nda mo antar orang Pe barang"" nda usah buka kantor J&t Manado ,, lalah telfon"" wa , nda ada respon , ada perlu Skali tu barang ,, pamalas mo antar Kong mo jadi kurir"
"Dian Yamin","1 bintang","6 tahun lalu","Minta tolong ne bilang ngoni pe karyawan j&t, kalo kerja ja becus kwa. Masa qt pe paket dari batam tujuan manado, serta so sampe manado kemarin, bukan ngoni pe kurir antar pa qt, malah ngoni retur ulang kase bale, qt lacak di website j&t …"
"Stenly wan Lahengking","1 bintang","2 tahun lalu","Bekeng binci ni jnt ini ee Kita pe paket so di pandu dorang bawa ulang ka gudang Kong sampe skarang status rescedule deng customer nintau da rescedule tempo apa 😠😠😠😠 …"
"Oki Timor WY","1 bintang","2 tahun lalu","Ga jelas, kurir ga pernah ada konfirmasi tlpon atau sms. Eh tiba2 barang sdh di kirim kembali ke toko onlinenya."
"Hengky Roboth","1 bintang","3 tahun lalu","Barang sudah sampai seminggu di Manado tapi belum di antar. Padahal saya sudah hubungi pihak J&T, itupun dari beberapa kontak yang saya hub hanya 2 org yang merespon. Sudah ngeluh ke mereka barangnya sudah di perlukan tapi tetap tidak di antar, malah di hub lagi sudah tidak merespon"
"Risna suleman","1 bintang","4 tahun lalu","Aneh dg jntnya di aplikasi barang saya sedang di antar tpi dari kmrin belum sampe juga,terus saya coba hubungi petugas jntnya untuk menanyakan prhl brang saya ktanya dia nda tau katanya dia sibuk,trus nmor saya di blokir lgi."
"Marcheline Lawrenzia","1 bintang","3 tahun lalu","Paket saya dari shopee dipesan dari tgl 28 maret blum ada sampai sekarang, notifikasi shopeenya bilang kalo kurir sementara nganterin kelokasi, udh dua hari ditunggu gak nyampe², mohon ya ditinjau lagi"
"Ester Juliana Tatambihe S.pd","2 bintang","3 tahun lalu","Apa kurir J&T itu tidak di traning ya.... Barang saya sudah 3 hari belum di antar.....tlp tidak di angkat... Tlp kantor juga nda bisa di hubungi. …"
"Angel Nadia","1 bintang","4 tahun lalu","Kurir sangat tidak sopan, torsng berhak tsnya trg pe barang lrna takutnya kong so nd m ta antr smpe pa trg kong ngni return ulg padahal trg s tunggu2 itu barang. Ngni pe kurir qt ambe dsri data krna qt lacak so smntrs pengantran kurir mar …"
"stefka febrina","1 bintang","2 tahun lalu","Pamalas ini kurir2 , pandang enteng dgn barang cod. Trg byr ongkir bkn nda Brg dr tgl 3 ini so tgl 7 nyanda antar2"
"Youdy Sosinggih","1 bintang","2 tahun lalu","Aneh skali barang so pa kurir so brapa kali baku janji mobawa Mar kurir nd muncul2... Kurir nd niat kerja ato apa.....??!!"
"General Affair","1 bintang","4 tahun lalu","Saya pesan Bibit dari Bali ke Manado, dengan hrga Ongkir Rp. 1.716.000 sudah cek resi, sampai di Manado tanggal 09/01/2022, tapi masih belum di krimkan ke alamat tujuan, setelah di Pick up oleh supir tanggal 10/01/2022, trus supir …"
"BUDI SOVIEA DASOPANG","1 bintang","2 tahun lalu","Gak jelas jasa kirim j&t di sulawesi utara. Sudah kurir pemalas Di tambah pekerja lelet dan tidak teliti …"
"Christy Resa","1 bintang","5 tahun lalu","Paket saya sudah sekitar 5 hari terulis tertunda, padahal sudah sampai di manado. Setelah sampai ke saya, packing nya udah jelek sekali, terus ada barang 1 kurang. Gimana sih. Pelayanannya jelek sekali."
"Allan massie","1 bintang","6 tahun lalu","Paket tidak pernah dikonfirmasi ke penerima oleh kurir yg mengantar. Status di web Tracking sudah diterima. Parah..barang blm ada ditangan..Guna apa disertakan No.Hp bila tdk dihubungi..👎👎 …"
"Cindy Septiawati","1 bintang","2 tahun lalu","Tolongg pakettnya d teruskan ke alamat tujuann.. paket sy tertahan d mnadoo tujuan ke maluku utara gak gerakk sdh 1 mingguu"
"kingboba sidoarjo","1 bintang","5 tahun lalu","barang yg saya kirim  ke pembeli belum diterima tapi sudah dikembalikan dg catatan ""penerima menolak barang"" padahal belum ada 1 paket pun / kurir yg datang antar barang !!!!! bisa kerja gg sih sebenernya ?"
"Supatni Lawitan","1 bintang","2 tahun lalu","Parah sih kurirnya,prtma sruh syerlok lokasi m antr pkett kg saya blg lokasi sya ngk jadiii nnti saya tnjung jlnnya,eh ps it blg blg dy m antrr bgmna in,srta da cht dmn dpe kntor dy nd bls2 leeee huu"
"Juitha Datu","1 bintang","3 tahun lalu","Paket nda pernah antr nda guna ja bayar Ongkir+ ley bayar ongkos cod slalu Pi ambe di kantor tu paket2 biar so tlpn wa nda ja respon ! Tutup Jo tu kantor klo so nda Jaba antr spya tpe paket nda jata Pi situ"
"Mey Key","1 bintang","2 tahun lalu","Jasa pelayanannya sangat mengecewakan.. Kurir dengan seenaknya main cancel paket yg udah sampai tanpa konfirmasi dengan pemesan 😡😡😡😡 …"
"BELAJAR HIJRAH","1 bintang","7 tahun lalu","Kenapa pelayanan j&t buruk sekali?? Biasanya dari jakarta ke enrekang cuma 5 hari ini dari enrekang manado sudah 7 belum tiba.. …"
"Jolanda Nadya Tatengkeng","1 bintang","2 tahun lalu","Baru kali ini di prank J&T, barang tidak dibawa ke customer tapi keterangan barang ditulis rescheduled customer padahal dari kurirnya tidak pernah hubungi saya, malahan saya yg hubungi chat kurirnya tapi cuma di ghosting wkwkwk"
"Leah Elra","2 bintang","Diedit 6 tahun lalu","Paket belum diantar tp tertulis sdh diterima 3 hari yang lalu..padahal Jarak rumah dg kantor j&t cuma 90m. Pelayanan lebih ditingkatkan lagi."
"Bagusde Agung","1 bintang","3 tahun lalu","Expedisi terburuk di manado, barang dikirim dr kota yg sama samapinya bedanya bisa berhari hari , padahal ongkir jnt lbh mahal,saran untuk daerah manado pilih ekspedisi yg lain saja, jnt not recommended bnget"
"Jivay Leon","1 bintang","2 tahun lalu","Kantornya ditutup aja. Pelayanan paling jelek. 1 customer dilayani 30 menit sampai 1jam. Mending kasih kerja ke anak SD lebih cepat"
"Karisma Monoarfa","1 bintang","3 tahun lalu","Kita pe paket kmrin dorang bawa di Dumoga padahal alamat so ttaruh inobonto, ayy e bgmna ini pelayanan!! Serta itu drng mkse kbali dipenjual kong bilang klau trng yang nd ambe paket, pdhal sdri pdorang yang nd bkse sampe paket p costumer!!!"
"Felice","1 bintang","4 tahun lalu","Hari kerja tapi kantornya yang di Komo Luar malah tutup, saya sudah bolak balik 3x dikantor ini yang seharusnya sudah jam operasional tapi katanya tutup!!! BURUK SEKALI PELAYANAN KALIAN KE KOSTUMER!!! …"
"Choirullatiful Anggara","1 bintang","6 tahun lalu","INI EXPEDISI PALING BIONGO! PALING PEMALAS!  Kurir nyanda pernah ba telfon ato SMS pas di tracking so diterima. Nyanda ada SOP kurir for ba antar barang ? Kalo kw ndk niat kerja jadi kurir RESIGN JO! …"
"Kenny Liem","4 bintang","6 tahun lalu","Kemarin aku belanja lewat Tokopedia, terus kirim barangnya lewat J&T. Seminggu kemudian ada laporan bahwa barangnya sudah tiba dan diterima dengan baik, tetapi ternyata barangnya belum ada sama sekali. Waktu dicek ke kantornya langsung, …"
"Viktor Vikariat Tandungan","5 bintang","5 tahun lalu","Barang saya sampai sekarang masih tertahan di manado..pdahal dari tanggal 13 juni itu sudah sampai dri jkt ke manado sampai sekarang tanggal 18 juni blum nyampe juga ke palu..ini pengaruh apa sih? Covid atau costumer nggak becus? Tau begini saya pilih JNE"
"DP Review","1 bintang","3 tahun lalu","Kerjanya tidak profesional, lelet dan ngaco. Pesanan saya 2 minggu dibawa kurir lapangan nda nyampe2, padahal rumah saya kurang dari 1km dari cabang jnt ybs"
"Alvian Mordekhai","1 bintang","6 tahun lalu","Sudah kesekian kalinya barang saya yang harusnya dikirim ke Tateli tapi selalu salah dalam penyortiran sehingga selalu dikirim ke drop point Tomohon. Tolong dong tukang sortir lebih teliti, jangan jadikan Kabupaten sebagai patokan dalam …"
"Ady Antonio","1 bintang","7 tahun lalu","Paket dikirim hari senin tapi sampai hari jumat belum juga sampai, cek status resi terakhir diupdate hari rabu pagi barang masih ditahan di Jakarta belum tapi status katanya sdh dikirim. Very bad service!!"
"Henry Su","1 bintang","4 tahun lalu","Saya kira ini expedisi trburuk di kota Manado.. brg di pindah sana sini. alasan miss sortir. akhirnya ambil sendiri di ktr yg justru jauh dr alamat kirim. dan ini sdh kesekian kli dgn alasan yg sama. hadehh."
"Andika Nussy","3 bintang","7 tahun lalu","Sekedar basa-basi 😄 lucu sekali ini cwek CS, kita pi ambe barang langsung di ktr J&T. Lalu batanya nmr tlpn ktr 3313 ? Dia blg butul, kita ada ba tlpn sekitrn jam 9 4x mar nd angka & tu cwek blg mgkn msh tidor, serta tanya buka jam brapa dia blg jam 9. Brarti kryawan J&T Komo jam 9 msh tidor dng (?) Wkwk. …"
"Dedi PS","1 bintang","5 tahun lalu","Lamban dalam penanganan pengiriman. Dari Sidoarjo - Jakarta - Manado hanya 2 hari. Disimpan di gudang dulu sekian hari baru dikirim. …"
"Marino Thelbic.L","1 bintang","6 tahun lalu","Pelayanan sgt tidak baik. Barang tidak diantar ke alamat tujuan, Walaupun hari minggu, setidaknya menunggu hari senin..tetapi hanya mngecek lewat telpon, dn stelah cek di kantor trnyata barang sudah di retur."
"Aprillaleno Aprill","1 bintang","3 tahun lalu","So kurang Sama Jo dg j&t di Tateli masa Qt p paket kaseh alamat di Tateli malah tumbuh di Mongondow abis itu da cek ulang so di Manado ,ini paket su kurang sama dg gasing ta putar 😡😡😡 …"
"Anthony Wawah","3 bintang","7 tahun lalu","Kcepatan pngiriman sdh mantap. Sy kritisi parkirannya saja yg sngt tidak mmadai, apalagi klo dtng ambil sndiri paket mnggunakan mobil, sdh tdk ada space parkir sama skali, blum jalan d dpan yg sdh 1 arah dan cukup sering macet, blum lagi …"
"ella dewi ayu","1 bintang","6 tahun lalu","Pelayanan pengiriman terburuk sepanjang sejarah. Kurir tidak bertanggung jawab. Customer service jawab seenaknya tanpa ada sopan santun sama sekali. Kapok sekapok2 nya pakai j&t. …"
"Sahari Record_","1 bintang","5 tahun lalu","Lama skali pengiriman Brng Dah pesan Sma"" Laeng pke idexpres  3 hri so sampe pdhal dpe ongkir Cm 30 rbu ,mar pake J&t dp ongkir 90 rbu kong dp sttus masi proses,pdhl dri Kota yng sma,.. parah skli no.."
"Angel Rondonuwu","1 bintang","2 tahun lalu","Pesan barang dari langowan tujuan tondano, so satu minggu nda sampe²! Paket kote so se tahan di manado, memang komang j&t nda ada depe butul !!!"
"Angel Salim","1 bintang","6 tahun lalu","Tidak akan pernah pake jnt lagi. Ntah org yg kerja disini niat kerja apa ngga. Di telp ga angkat. Penanggung jawabnya pun di telp tidak angkat padahal ada sekali nelp nonya sibuk (BERARTI LAGI TERIMA TELP ORANG)"
"M.HUDA AMRULLAH","1 bintang","4 tahun lalu","Laporan untuk JNT pusat sudah di buat. tim lapangan JNT Manado tidak merespon dari tanggal 14 Januari Sampek sekarang belum ada pergerakan paket mohon segera di respon"
"Olga Kandouw","1 bintang","3 tahun lalu","Saya sangat tidak puas dengan pelayanan JnT, paket dari Jawa Tengah dikirim dari tanggal 14 sampai sekarang belum juga diterima, setiap ditanya jawaban selalu dalam proses, saya sangat mempertanyakan kinerja jasa pengiriman Jnt seperti apa ?"
"Kezia Cahya Pakaja","1 bintang","7 tahun lalu","Mnyasal pke J&t paket blm smpe kong di sttus, sudah di terima😡 nntau tu pket drg da kase pspa sto.. .Tmbah le ni nmor CS nda ja angka tu tlfn nda guna da nmor CS kong nda ja angka tu tlfn lbe bae pke JNE biar pke yg reg mar 1 hri lgsung …"
"opink supit","1 bintang","7 tahun lalu","Pelayanan sungguh buruk.. brg bolak balik dr gateway ke komo luar dgn alasan brg brmasalah padahal tidak ada konfirmasi dr pihak j&t baik telepon maupun sms.. smtara no.tlp dengan jelas tertera di resi pgiriman."
"Irinda Risandra","1 bintang","2 tahun lalu","Brg sdh sampai dr tgl 10 sampai skrg blm di antar2, kmaren ke j&t katanya brg blm masuk"
"celeb los","1 bintang","4 tahun lalu","Jnt manado sepertinya berisi oknum2 yang tidak jujur,,, toko buka dari jam 8 pagi sampai jam 10 malam,, tapi demi mencapai target atau memang malas pickup, mereka buat fake info,, dibuat seakan penjual yg reschudule pickup,, padahal …"
"Shinichiro Sano","1 bintang","2 tahun lalu","saya orang dari luar manado. saya kaget dengan pelayanan / service dari admin maupun kurir2 disini 🙏🏻 sangat tidak ramah …"
"Haikal Zaidan Tilamuhu TV TV","1 bintang","5 tahun lalu","Saya punya paket yg dari Jakarta tolong cepat di antar ke Airmadidi dong soalnya itu paketnya nggak tahan lama apalagi suhu ruangan tolong pihak J&T bertindak cepat untuk mengirimkan paket saya soalnya itu bukan barang seperti tas dll tapi itu buah"
"Cheng Hoo","1 bintang","7 tahun lalu","Masa Orang kantor JNT nd tau aplikasi JNT yang di play store kong stel ley bilang drng nd ada aplikasi bagitu ada kase tunjung akang itu nomor orderan. Parah butul ini CS JNT di manado komo luar"
"Ros sena","1 bintang","2 tahun lalu","Nda ada usaha kurir mo antar paket!! Cmn selang 1 malam nda dpa ambe paket , Depe besok lansung kirim bale pa Depe penjual ....,!!!!!!!!"
"Isaura Salur","1 bintang","5 tahun lalu","So ada kwa eh tu di manado so di pa kurir pelama mo anatar... J&t eh buruk sklai pelayanan... Notif da bilang so pakurir dari kemarin kong nda sampe2 ya... Tape tamng punya  da notif barang so di trima nintau katu masih da tacecer kurang da …"
"Novianty Bakari","1 bintang","8 tahun lalu","Saya belum menerima barang saya, tapi di no resi sudah di terima oleh saya sndiri.. aneh kan,? Kalo gak mau antr barangnya ttup aja kantor J&T.. OK 👎 …"
"Meivitha Mariani Rimbing","5 bintang","5 tahun lalu","Terima kasih, barangnya cepat bgt dikirim ke airmadidi, saya kira barangnya di tahan trnyta memang masih di jkt, pas sampai manado langsung di teruskan ke airmadidi, smoga sukses selalu tetap semangat💪🏼🙏🏻 …"
"Gertruid Pinontoan","2 bintang","2 tahun lalu","Ini Kurir bagaimana kang.. paket so tatahan 3hari pa dorang kong blm antar2.. hadeehh.."
"Robert Liwongan","1 bintang","8 tahun lalu","barang sering dikirim ke manado nyasar sampe ke airmadidi. pelayanan di kantor menyebalkan seakan akan mereka tidak salah apa"" dan tidak ada permintaan maaf sama sekali. sangat tidak profesional, tidak mampu menampung kouta barang yg banyak, tidak akan pakai lagi jasa j&t"
"michelle jussie","1 bintang","8 tahun lalu","Udah 2 minggu barang gak nyampee.. Tidak puass dengan cara pengirimannya lambat sekalii 😈 …"
"Maya Kelah","1 bintang","6 tahun lalu","Tolong ya JNT komo luar karyawannya di training baik2, costumer servicenya gak sopan sekali. Sy telpon baik2 kok cuma diangkat ngomong halo hbis itu dimatiin. Trus telpon lagi cuma ditinggalin aja gtu tlpnnya kedengaran karyawannya cuma ketawa2. Bener2 gak ada etikanya yaa.."
"vadelia sirap","1 bintang","2 tahun lalu","Tidak bisa COD , dapat suruh bayar karantina 20rb , padahal saya sdh perna COD beberapa kali , ini sistem kenapanya berubah"" ??"
"Blink Ra","1 bintang","5 tahun lalu","Paket kenapa gak di kirim2 ke palu udah 4 hari...Kalau gini saya pilih JNE aja.asli lama di tampung tu barang.. ini terakhir kalinya aku pake JNT"
"Tiana Putrii","1 bintang","4 tahun lalu","Pelayanan tidak ramah. Barang sudah sampai tapi proses pengiriman lama,, Kurir tidak ada menghubungi sama sekali."
"Jessica Kandou","1 bintang","2 tahun lalu","Jnt Komo luar mmng gni pe pelayanan bisae sx barang so berapa hari Riki so bayar ndk antar gni mau trg Pi ambe sendiri kg beking apa dank gni pe.kerja cmn makan gaji buta lebeh Bae tutup Jo gni pe kantor tu dia"
"Azz Channel","5 bintang","8 tahun lalu","Mantap sangat cepat untuk pengiriman 2 Hari tlah sampai"
"Kevin Waworuntu","1 bintang","3 tahun lalu","Kurirnya ngga sopan !! Apalagi yg area tikalla kumaraka Plus antarnya Nggaontime …"
"daniel joy","1 bintang","3 tahun lalu","Bilang Hari Sabtu Tutup Jam 5 sore. setelah datang sebelum jam 5, cewe yg jaga di CS bilang so tutup. memang nda konsisten. pelayanan Buruk..."
"Ummul Khairiyah","1 bintang","5 tahun lalu","Tolong pengiriman dipercepat 🙏 paket sya sudah 3 hari tertahan di manado, mana itu pesanan org 😣 Sudah dua kali pengiriman melalui gateway manado tidak pernah sampai tepat waktu. …"
"Jesica Sondakh","1 bintang","2 tahun lalu","Sangat buruk. Barang tidak diantar ke rumah & di retur tanpa konfirmasi. Kurir / Bos atas nama NOVEL SANDALA"
